"repository","gem","gemfileLock"
"dockerize-rails","rack","2.2.3"
"httplog","rack","2.0.7"
"HomeSelectChallenge","rack","2.0.3"
"AgenteroChallenge","rack","2.0.3"
"rails-boilerplate","rack","2.0.1"
"rails-5-mongoid-boilerplate","rack","2.0.1"
"react-counter-chronometer","rack","2.0.1"
"AgiledeversShoppingCartApp","rack","1.6.4"
"ModalAjaxRails","rack","1.6.4"
"NestedAttributesAddAjaxRails","rack","1.6.4"
"RailsToDoList","rack","1.6.4"
"RailsReactAjax","rack","1.6.4"
"IronHack_project_PrepareMyExam","rack","1.6.1"
"core_ad_server","rack","1.6.1"
"community_reservations","rack","1.5.2"
"rspec_reports_formatter","rack","1.5.2"
