"repository","gem","gemfileLock"
"dockerize-rails","rails","6.0.1"
"HomeSelectChallenge","rails","5.1.3"
"AgenteroChallenge","rails","5.1.3"
"rails-boilerplate","rails","5.0.0"
"rails-5-mongoid-boilerplate","rails","5.0.0"
"react-counter-chronometer","rails","5.0.0"
"RailsReactAjax","rails","4.2.6"
"RailsToDoList","rails","4.2.5"
"IronHack_project_PrepareMyExam","rails","4.2.1"
"core_ad_server","rails","4.2.1"
"AgiledeversShoppingCartApp","rails","4.2.1"
"ModalAjaxRails","rails","4.2.1"
"NestedAttributesAddAjaxRails","rails","4.2.1"
"community_reservations","rails","4.1.8"
